2026-05-27T12:46:59Z | +0 new | 1936 total | sources: {"capitol_trades": {"status": "ok", "records": 982}, "senate_github": {"status": "ok", "records": 0}}
2026-05-27T16:57:34Z | +2 new | 1938 total | sources: {"capitol_trades": {"status": "ok", "records": 984}, "senate_github": {"status": "ok", "records": 0}}
2026-05-27T20:21:36Z | +0 new | 1938 total | sources: {"capitol_trades": {"status": "ok", "records": 984}, "senate_github": {"status": "ok", "records": 0}}
2026-05-27T23:22:19Z | +0 new | 1938 total | sources: {"capitol_trades": {"status": "ok", "records": 984}, "senate_github": {"status": "ok", "records": 0}}
2026-05-28T13:00:51Z | +0 new | 1938 total | sources: {"capitol_trades": {"status": "ok", "records": 984}, "senate_github": {"status": "ok", "records": 0}}
2026-05-28T17:30:50Z | +5 new | 1943 total | sources: {"capitol_trades": {"status": "ok", "records": 989}, "senate_github": {"status": "ok", "records": 0}}
2026-05-28T20:26:34Z | +0 new | 1943 total | sources: {"capitol_trades": {"status": "ok", "records": 989}, "senate_github": {"status": "ok", "records": 0}}
2026-05-28T23:22:36Z | +0 new | 1943 total | sources: {"capitol_trades": {"status": "ok", "records": 989}, "senate_github": {"status": "ok", "records": 0}}
2026-05-29T12:39:50Z | +17 new | 1960 total | sources: {"capitol_trades": {"status": "ok", "records": 1003}, "senate_github": {"status": "ok", "records": 0}}
2026-05-29T17:25:46Z | +7 new | 1967 total | sources: {"capitol_trades": {"status": "ok", "records": 1015}, "senate_github": {"status": "ok", "records": 0}}
2026-05-29T20:28:41Z | +0 new | 1967 total | sources: {"capitol_trades": {"status": "ok", "records": 1015}, "senate_github": {"status": "ok", "records": 0}}
2026-05-29T23:19:52Z | +0 new | 1967 total | sources: {"capitol_trades": {"status": "ok", "records": 1015}, "senate_github": {"status": "ok", "records": 0}}
2026-05-30T11:23:44Z | +0 new | 1967 total | sources: {"capitol_trades": {"status": "ok", "records": 1010}, "senate_github": {"status": "ok", "records": 0}}
2026-06-01T15:47:15Z | +4 new | 1971 total | sources: {"capitol_trades": {"status": "ok", "records": 893}, "senate_github": {"status": "ok", "records": 0}}
2026-06-01T19:15:45Z | +0 new | 1971 total | sources: {"capitol_trades": {"status": "ok", "records": 893}, "senate_github": {"status": "ok", "records": 0}}
2026-06-01T21:35:43Z | +0 new | 1971 total | sources: {"capitol_trades": {"status": "ok", "records": 893}, "senate_github": {"status": "ok", "records": 0}}
2026-06-01T23:39:28Z | +0 new | 1971 total | sources: {"capitol_trades": {"status": "ok", "records": 893}, "senate_github": {"status": "ok", "records": 0}}
2026-06-02T13:47:02Z | +0 new | 1971 total | sources: {"capitol_trades": {"status": "ok", "records": 900}, "senate_github": {"status": "ok", "records": 0}}
2026-06-02T17:59:42Z | +6 new | 1977 total | sources: {"capitol_trades": {"status": "ok", "records": 900}, "senate_github": {"status": "ok", "records": 0}}
2026-06-02T20:52:20Z | +3 new | 1980 total | sources: {"capitol_trades": {"status": "ok", "records": 904}, "senate_github": {"status": "ok", "records": 0}}
2026-06-02T23:52:41Z | +0 new | 1980 total | sources: {"capitol_trades": {"status": "ok", "records": 904}, "senate_github": {"status": "ok", "records": 0}}
2026-06-03T14:20:27Z | +0 new | 1980 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-06-03T18:15:11Z | +4 new | 1984 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-06-03T20:58:28Z | +0 new | 1984 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-06-03T23:50:34Z | +0 new | 1984 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-06-04T12:37:23Z | +0 new | 1984 total | sources: {"capitol_trades": {"status": "ok", "records": 903}, "senate_github": {"status": "ok", "records": 0}}
2026-06-04T16:43:39Z | +36 new | 2020 total | sources: {"capitol_trades": {"status": "ok", "records": 940}, "senate_github": {"status": "ok", "records": 0}}
2026-06-04T20:08:18Z | +0 new | 2020 total | sources: {"capitol_trades": {"status": "ok", "records": 940}, "senate_github": {"status": "ok", "records": 0}}
2026-06-04T23:14:41Z | +0 new | 2020 total | sources: {"capitol_trades": {"status": "ok", "records": 940}, "senate_github": {"status": "ok", "records": 0}}
2026-06-05T12:30:25Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-05T16:23:42Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-05T19:57:24Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-05T23:15:06Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-06T11:28:00Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-08T13:57:40Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-08T17:00:14Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-08T20:24:09Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-08T23:15:57Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-09T12:30:24Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-09T16:23:56Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-09T20:09:09Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-09T23:24:12Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-10T12:48:19Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-10T16:53:23Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-10T20:32:46Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-10T23:39:29Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-11T13:49:58Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-11T17:30:45Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-11T20:24:22Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-11T23:41:43Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-12T12:48:06Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-12T16:36:38Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-12T20:13:00Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-12T23:23:13Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-13T11:55:17Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-15T15:35:45Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-15T18:19:31Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-15T20:57:04Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-15T23:50:39Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-16T14:51:20Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-16T18:23:35Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-16T20:53:48Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-16T23:27:11Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-17T13:35:25Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-17T16:49:33Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-17T20:14:04Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-17T23:43:37Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
2026-06-18T12:44:37Z | +0 new | 0 total | sources: {"capitol_trades": {"status": "ok", "records": 0}, "senate_github": {"status": "ok", "records": 0}}
